"","d25","river_ID","River","year","Method","temp","flow","lon","lat","HEIGHT_MAX","GRADELV","fyear","Anadromous_lakes"
"1",162,"157.52Z","Sila",2018,"Video",-2.88020032587436,110,13.145978,66.332878,1020,78.9,"2018",1
"2",158,"157.42Z","Flostrand",2018,"Video",-3.07572317519509,110,13.372945,66.335834,1152,38.1,"2018",1
"3",144,"085.Z","Osenelva",2009,"Video",1.75926907762256,91,5.407634,61.548835,1117,15,"2009",1
"4",141,"144.5Z","Urvollelva",2006,"Video",-1.4897064144772,108,12.587159,65.134199,1048,39.2,"2006",1
"5",131,"144.5Z","Urvollelva",2007,"Video",-0.216393298320491,91,12.587159,65.134199,1048,39.2,"2007",1
"6",140,"144.5Z","Urvollelva",2008,"Video",0.810974016870231,122,12.587159,65.134199,1048,39.2,"2008",1
"7",160,"144.5Z","Urvollelva",2009,"Video",-0.636938549560087,93,12.587159,65.134199,1048,39.2,"2009",1
"8",154,"144.5Z","Urvollelva",2015,"Video",1.18903076903482,91,12.587159,65.134199,1048,39.2,"2015",1
"9",153,"144.5Z","Urvollelva",2016,"Video",-0.927654231245633,91,12.587159,65.134199,1048,39.2,"2016",1
"10",149,"144.5Z","Urvollelva",2017,"Video",0.430979056007904,91,12.587159,65.134199,1048,39.2,"2017",1
"11",149,"144.5Z","Urvollelva",2018,"Video",-2.94990903645779,111,12.587159,65.134199,1048,39.2,"2018",1
"12",127,"107.6Z","Hustadelva",2004,"Video",1.12821593839212,91,7.10216,62.958803,905,19.8,"2004",1
"13",126,"107.6Z","Hustadelva",2005,"Video",1.69381366834183,91,7.10216,62.958803,905,19.8,"2005",1
"14",128,"107.6Z","Hustadelva",2008,"Video",2.58948502917463,91,7.10216,62.958803,905,19.8,"2008",1
"15",121,"107.6Z","Hustadelva",2009,"Video",1.65240151539306,91,7.10216,62.958803,905,19.8,"2009",1
"16",145,"107.6Z","Hustadelva",2010,"Video",-1.75979805845047,91,7.10216,62.958803,905,19.8,"2010",1
"17",133,"107.6Z","Hustadelva",2011,"Video",0.402213375231742,94,7.10216,62.958803,905,19.8,"2011",1
"18",146,"107.6Z","Hustadelva",2012,"Video",1.95448067677487,91,7.10216,62.958803,905,19.8,"2012",1
"19",147,"107.6Z","Hustadelva",2013,"Video",-0.672191622755665,95,7.10216,62.958803,905,19.8,"2013",1
"20",139,"107.6Z","Hustadelva",2014,"Video",3.53694993700814,91,7.10216,62.958803,905,19.8,"2014",1
"21",140,"186.2Z","Roksdalvass",2006,"Video",-2.61716696678849,91,15.869415,69.050054,584,15.7,"2006",1
"22",152,"186.2Z","Roksdalvass",2007,"Video",-0.894615192879617,91,15.869415,69.050054,584,15.7,"2007",1
"23",160,"186.2Z","Roksdalvass",2008,"Video",-0.697347450593602,94,15.869415,69.050054,584,15.7,"2008",1
"24",158,"186.2Z","Roksdalvass",2009,"Video",-1.60170795230181,101,15.869415,69.050054,584,15.7,"2009",1
"25",161,"186.2Z","Roksdalvass",2010,"Video",-3.72828226940666,103,15.869415,69.050054,584,15.7,"2010",1
"26",145,"186.2Z","Roksdalvass",2011,"Video",-2.13814601337342,91,15.869415,69.050054,584,15.7,"2011",1
"27",161,"186.2Z","Roksdalvass",2012,"Video",-1.05570970657065,91,15.869415,69.050054,584,15.7,"2012",1
"28",150,"186.2Z","Roksdalvass",2013,"Video",-3.15248305452347,109,15.869415,69.050054,584,15.7,"2013",1
"29",147,"186.2Z","Roksdalvass",2014,"Video",-0.357797435980404,91,15.869415,69.050054,584,15.7,"2014",1
"30",148,"186.2Z","Roksdalvass",2015,"Video",0.303005842972537,91,15.869415,69.050054,584,15.7,"2015",1
"31",150,"186.2Z","Roksdalvass",2016,"Video",-1.46079609534842,91,15.869415,69.050054,584,15.7,"2016",1
"32",161,"186.2Z","Roksdalvass",2017,"Video",-0.622972466800266,96,15.869415,69.050054,584,15.7,"2017",1
"33",146,"173.Z","Skjoma",2004,"Video",-2.68542932273535,113,17.391355,68.24911,1880,1.5,"2004",0
"34",141,"173.Z","Skjoma",2005,"Video",-1.6576852158168,147,17.391355,68.24911,1880,1.5,"2005",0
"35",160,"173.Z","Skjoma",2006,"Video",-3.47782157315511,117,17.391355,68.24911,1880,1.5,"2006",0
"36",154,"173.Z","Skjoma",2007,"Video",-1.76204968738348,93,17.391355,68.24911,1880,1.5,"2007",0
"37",150,"173.Z","Skjoma",2008,"Video",-1.51291312233834,122,17.391355,68.24911,1880,1.5,"2008",0
"38",149,"173.Z","Skjoma",2009,"Video",-2.53355562442722,117,17.391355,68.24911,1880,1.5,"2009",0
"39",160,"173.Z","Skjoma",2010,"Video",-5.08961995348121,135,17.391355,68.24911,1880,1.5,"2010",0
"40",161,"140.Z","Moelva/Salsvassdrag",2009,"Video",-0.0228167637907464,93,11.438753,64.691498,763,6.2,"2009",1
"41",166,"140.Z","Moelva/Salsvassdrag",2010,"Video",-3.29127047096075,92,11.438753,64.691498,763,6.2,"2010",1
"42",165,"140.Z","Moelva/Salsvassdrag",2011,"Video",-0.471303708740207,91,11.438753,64.691498,763,6.2,"2011",1
"43",144,"140.Z","Moelva/Salsvassdrag",2012,"Video",0.604553576837425,91,11.438753,64.691498,763,6.2,"2012",1
"44",162,"140.Z","Moelva/Salsvassdrag",2013,"Video",-1.76750643341043,106,11.438753,64.691498,763,6.2,"2013",1
"45",157,"140.Z","Moelva/Salsvassdrag",2014,"Video",1.81422746163316,91,11.438753,64.691498,763,6.2,"2014",1
"46",120,"018.Z","Storelva",2015,"Trap",3.3106798342529,91,9.070498,58.681838,506,6.4,"2015",1
"47",124,"018.Z","Storelva",2016,"Trap",1.28974572805141,91,9.070498,58.681838,506,6.4,"2016",1
"48",125,"018.Z","Storelva",2017,"Trap",2.66004687971482,120,9.070498,58.681838,506,6.4,"2017",1
"49",133,"018.Z","Storelva",2018,"Trap",-0.0540644603753521,101,9.070498,58.681838,506,6.4,"2018",1
"50",143,"019.Z","Nidelva",2013,"Trap",-0.934453076986447,107,8.699806,58.423273,1519,5.8,"2013",1
"51",123,"019.Z","Nidelva",2014,"Trap",3.69506284785231,91,8.699806,58.423273,1519,5.8,"2014",1
"52",124,"019.Z","Nidelva",2015,"Trap",3.40838156810055,91,8.699806,58.423273,1519,5.8,"2015",1
"53",129,"019.Z","Nidelva",2016,"Trap",1.43670650277835,91,8.699806,58.423273,1519,5.8,"2016",1
"54",127,"019.Z","Nidelva",2017,"Trap",2.86078875456962,91,8.699806,58.423273,1519,5.8,"2017",1
"55",133,"019.Z","Nidelva",2018,"Trap",0.112816113997692,104,8.699806,58.423273,1519,5.8,"2018",1
"56",123,"036.Z","Suldalslågen",1996,"Trap",-0.497607120451613,112,6.250617,59.480997,1686,13.2,"1996",1
"57",119,"036.Z","Suldalslågen",1997,"Trap",1.46683382678562,91,6.250617,59.480997,1686,13.2,"1997",1
"58",116,"036.Z","Suldalslågen",1998,"Trap",1.28321479045006,91,6.250617,59.480997,1686,13.2,"1998",1
"59",115,"036.Z","Suldalslågen",1999,"Trap",1.15567611405059,91,6.250617,59.480997,1686,13.2,"1999",1
"60",112,"036.Z","Suldalslågen",2000,"Trap",2.03196283060565,114,6.250617,59.480997,1686,13.2,"2000",1
"61",116,"036.Z","Suldalslågen",2001,"Trap",-0.624678370941211,95,6.250617,59.480997,1686,13.2,"2001",1
